twinType,twinId,executionId,timestamp,currentAngles_1,targetAngles_1,currentSpeeds_1,currentAngles_2,targetAngles_2,currentSpeeds_2,currentAngles_3,targetAngles_3,currentSpeeds_3,currentAngles_4,targetAngles_4,currentSpeeds_4,currentAngles_5,targetAngles_5,currentSpeeds_5,currentAngles_6,targetAngles_6,currentSpeeds_6,moving
DT,braccio,1655901291,0,48,108,166,105,114,64,160,168,54,51,54,151,128,116,160,42,62,127,0
DT,braccio,1655901291,5,2,10,19,142,88,86,25,108,24,27,57,31,49,147,115,16,45,52,0
DT,braccio,1655901291,7,145,59,7,112,137,95,178,180,48,38,47,36,31,64,195,57,34,164,1
DT,braccio,1655901291,11,131,104,7,74,112,21,73,96,130,48,85,70,51,172,183,32,25,172,0
DT,braccio,1655901291,13,173,52,3,124,100,46,64,171,195,132,59,74,113,164,179,46,50,199,1
DT,braccio,1655901291,14,129,48,148,98,94,165,75,91,25,34,52,61,88,30,147,54,31,39,1
DT,braccio,1655901291,16,122,86,77,159,77,134,121,69,65,0,72,131,56,71,187,49,38,67,0
DT,braccio,1655901291,17,25,147,91,115,85,197,57,63,85,113,175,131,136,158,161,43,70,70,1
DT,braccio,1655901291,22,37,112,133,41,85,195,46,118,46,172,96,177,50,130,184,52,25,79,0
DT,braccio,1655901291,24,77,139,19,21,57,103,32,18,169,101,163,199,138,117,196,12,53,130,0
DT,braccio,1655901291,26,33,102,134,126,46,123,172,150,28,51,106,20,66,111,173,70,23,114,1
DT,braccio,1655901291,31,164,149,24,25,91,199,74,68,189,27,102,186,167,158,28,17,67,186,1
DT,braccio,1655901291,36,36,147,119,153,38,121,138,50,169,135,128,6,67,117,171,38,35,159,0
DT,braccio,1655901291,40,38,152,150,136,65,133,140,164,37,29,34,190,33,118,102,68,64,34,0
DT,braccio,1655901291,42,114,120,124,159,27,20,114,124,7,2,164,74,66,180,92,50,62,59,0
DT,braccio,1655901291,43,60,5,101,17,139,32,0,169,25,54,50,39,133,126,57,14,22,100,1
DT,braccio,1655901291,47,68,146,130,35,146,75,98,93,119,51,82,150,163,180,16,38,25,182,1
DT,braccio,1655901291,51,80,2,139,49,23,101,30,105,190,156,85,34,17,2,179,16,43,105,1
DT,braccio,1655901291,54,99,106,94,100,160,167,78,150,185,51,47,76,167,115,73,21,66,25,0
DT,braccio,1655901291,59,7,63,74,130,35,79,179,126,116,151,78,29,89,158,6,47,69,25,0
DT,braccio,1655901291,60,43,11,152,15,58,151,111,127,38,120,20,63,72,105,101,30,47,121,0
DT,braccio,1655901291,64,35,42,37,143,55,106,62,31,94,120,103,46,49,18,46,72,36,118,0
DT,braccio,1655901291,67,133,41,161,54,148,148,107,127,15,149,95,40,77,168,132,38,47,107,1
DT,braccio,1655901291,72,31,168,89,112,54,164,167,174,91,82,114,121,64,98,91,72,24,147,0
DT,braccio2,1655901291,1,76,15,59,43,150,123,107,84,19,81,144,138,7,88,149,27,48,78,1
DT,braccio2,1655901291,5,12,3,162,108,19,41,139,99,161,98,18,136,20,150,174,51,40,160,1
DT,braccio2,1655901291,10,134,79,185,127,157,192,71,20,168,110,135,4,79,162,187,19,28,42,1
DT,braccio2,1655901291,13,59,51,104,50,105,93,149,103,141,14,104,168,104,38,180,26,40,185,0
DT,braccio2,1655901291,16,116,176,150,115,122,68,45,97,94,82,14,88,110,41,73,18,49,196,0
DT,braccio2,1655901291,17,124,89,200,87,129,186,132,127,23,75,178,26,86,71,117,10,17,58,1
DT,braccio2,1655901291,22,22,102,131,114,78,150,175,61,140,80,152,79,147,111,127,71,41,46,0
DT,braccio2,1655901291,24,36,171,121,29,153,108,176,177,179,68,160,55,43,153,2,68,40,46,0
DT,braccio2,1655901291,29,2,10,117,53,118,137,130,37,175,30,76,67,177,14,75,50,60,41,1
DT,braccio2,1655901291,33,110,40,128,143,114,128,38,94,161,91,131,93,16,108,125,55,38,112,0
DT,braccio2,1655901291,34,103,10,73,101,46,175,41,42,26,42,84,90,4,34,26,70,36,173,0
DT,braccio2,1655901291,39,96,137,140,109,114,112,180,46,9,102,130,185,153,146,59,51,18,102,0
DT,braccio2,1655901291,41,149,179,147,165,100,103,88,133,122,113,84,191,17,117,168,22,17,26,0
DT,braccio2,1655901291,45,47,102,93,120,64,28,14,47,93,4,177,103,131,97,176,46,37,70,1
DT,braccio2,1655901291,47,13,139,87,113,156,39,152,130,96,141,81,167,112,43,110,42,25,149,0
DT,braccio2,1655901291,48,47,92,97,138,75,77,20,22,5,1,25,152,12,89,20,62,40,33,1
DT,braccio2,1655901291,52,109,2,59,15,104,143,141,97,31,67,41,107,175,31,54,28,68,146,0
DT,braccio2,1655901291,56,86,156,190,71,31,32,38,17,52,151,71,159,11,117,5,63,66,182,1
DT,braccio2,1655901291,58,168,53,93,131,157,8,116,58,71,16,121,139,34,165,15,24,58,14,1
DT,braccio2,1655901291,61,137,132,162,117,64,114,63,109,57,135,72,113,170,117,83,55,57,31,0
DT,braccio2,1655901291,65,65,168,49,155,95,180,136,115,123,100,174,45,127,150,197,53,58,130,0
DT,braccio2,1655901291,69,92,100,158,87,22,171,152,12,19,95,21,164,107,84,162,16,70,191,1
DT,braccio2,1655901291,71,180,57,169,163,39,143,168,65,49,175,6,153,138,31,154,51,37,194,0
DT,braccio2,1655901291,73,165,5,46,124,39,164,145,161,20,41,39,51,90,53,174,69,63,156,0
