twinType,twinId,executionId,timestamp,currentAngles_1,targetAngles_1,currentSpeeds_1,currentAngles_2,targetAngles_2,currentSpeeds_2,currentAngles_3,targetAngles_3,currentSpeeds_3,currentAngles_4,targetAngles_4,currentSpeeds_4,currentAngles_5,targetAngles_5,currentSpeeds_5,currentAngles_6,targetAngles_6,currentSpeeds_6,moving
DT,braccio,1655901291,0,48,108,166,105,114,64,160,168,54,51,54,151,128,116,160,42,62,127,0
DT,braccio,1655901291,5,2,10,19,142,88,86,25,108,24,27,57,31,49,147,115,16,45,52,0
DT,braccio,1655901291,7,145,59,7,112,137,95,178,180,48,38,47,36,31,64,195,57,34,164,1
DT,braccio,1655901291,11,131,104,7,74,112,21,73,96,130,48,85,70,51,172,183,32,25,172,0
DT,braccio,1655901291,13,173,52,3,124,100,46,64,171,195,132,59,74,113,164,179,46,50,199,1
DT,braccio,1655901291,14,129,48,148,98,94,165,75,91,25,34,52,61,88,30,147,54,31,39,1
DT,braccio,1655901291,16,122,86,77,159,77,134,121,69,65,0,72,131,56,71,187,49,38,67,0
DT,braccio,1655901291,17,25,147,91,115,85,197,57,63,85,113,175,131,136,158,161,43,70,70,1
DT,braccio,1655901291,22,37,112,133,41,85,195,46,118,46,172,96,177,50,130,184,52,25,79,0
DT,braccio,1655901291,24,77,139,19,21,57,103,32,18,169,101,163,199,138,117,196,12,53,130,0
DT,braccio,1655901291,26,33,102,134,126,46,123,172,150,28,51,106,20,66,111,173,70,23,114,1
DT,braccio,1655901291,31,164,149,24,25,91,199,74,68,189,27,102,186,167,158,28,17,67,186,1
DT,braccio,1655901291,36,36,147,119,153,38,121,138,50,169,135,128,6,67,117,171,38,35,159,0
DT,braccio,1655901291,40,38,152,150,136,65,133,140,164,37,29,34,190,33,118,102,68,64,34,0
DT,braccio,1655901291,42,114,120,124,159,27,20,114,124,7,2,164,74,66,180,92,50,62,59,0
DT,braccio,1655901291,43,60,5,101,17,139,32,0,169,25,54,50,39,133,126,57,14,22,100,1
DT,braccio,1655901291,47,68,146,130,35,146,75,98,93,119,51,82,150,163,180,16,38,25,182,1
DT,braccio,1655901291,51,80,2,139,49,23,101,30,105,190,156,85,34,17,2,179,16,43,105,1
DT,braccio,1655901291,54,99,106,94,100,160,167,78,150,185,51,47,76,167,115,73,21,66,25,0
DT,braccio,1655901291,59,7,63,74,130,35,79,179,126,116,151,78,29,89,158,6,47,69,25,0
DT,braccio,1655901291,60,43,11,152,15,58,151,111,127,38,120,20,63,72,105,101,30,47,121,0
DT,braccio,1655901291,64,35,42,37,143,55,106,62,31,94,120,103,46,49,18,46,72,36,118,0
DT,braccio,1655901291,67,133,41,161,54,148,148,107,127,15,149,95,40,77,168,132,38,47,107,1
DT,braccio,1655901291,72,31,168,89,112,54,164,167,174,91,82,114,121,64,98,91,72,24,147,0
DT,braccio,1655901291,77,31,168,89,112,54,164,167,174,91,82,114,121,64,98,91,72,24,147,0
