twinType,twinId,executionId,timestamp,xPos,yPos,angle,speed,isMoving,distance,bump,light,action,processingQueue
PT,XXXCarPT,1627484055,16274847350,5.0015,5.0033,0,31.28,FALSE,37,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847360,5.2766,5.0036,0,31.28,TRUE,40,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847370,5.5553,4.9987,0,31.28,TRUE,43,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847380,5.8335,4.9982,0,31.28,TRUE,46,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847390,6.1167,4.9996,0,31.28,TRUE,49,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847400,6.3904,4.9963,0,31.28,TRUE,52,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847410,6.6648,5.0021,0,31.28,TRUE,55,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847420,6.9464,4.9997,0,31.28,TRUE,58,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847430,7.2192,4.9965,0,31.28,TRUE,61,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847440,7.5057,5.0009,0,31.28,TRUE,64,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847450,7.7822,4.9967,0,31.28,TRUE,67,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847460,8.0556,5.0003,0,31.28,TRUE,70,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847470,8.3338,4.9973,0,31.28,TRUE,73,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847480,8.6116,5.0032,0,31.28,TRUE,76,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847490,8.8921,5.0013,0,31.28,TRUE,79,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847500,9.1662,4.9955,0,31.28,TRUE,82,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847510,9.4447,5.0045,0,31.28,TRUE,85,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847520,9.7257,4.9960,0,31.28,TRUE,88,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847530,10.0067,4.9986,0,31.28,TRUE,91,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847540,10.2774,5.0032,0,31.28,TRUE,94,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847550,10.5564,5.0024,0,31.28,TRUE,97,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847560,10.8415,4.9988,0,31.28,TRUE,100,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847570,11.1121,5.0044,0,31.28,TRUE,103,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847580,11.3948,4.9996,0,31.28,TRUE,106,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847590,11.6685,5.0007,0,31.28,TRUE,109,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847600,11.9487,4.9970,0,31.28,TRUE,112,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847610,12.2234,5.0012,0,31.28,TRUE,115,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847620,12.5091,4.9996,0,31.28,TRUE,118,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847630,12.7872,4.9998,0,31.28,TRUE,121,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847640,13.0637,4.9985,0,31.28,TRUE,124,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847650,13.3426,5.0030,0,31.28,TRUE,127,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847660,13.6174,4.9957,0,31.28,TRUE,130,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847670,13.8924,4.9976,0,31.28,TRUE,133,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847680,14.1751,5.0026,0,31.28,TRUE,136,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847690,14.4497,4.9996,0,31.28,TRUE,139,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847700,14.7333,4.9978,0,31.28,TRUE,142,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847710,15.0125,5.0049,0,31.28,TRUE,145,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847720,15.2890,4.9957,0,31.28,TRUE,148,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847730,15.5606,5.0020,0,31.28,TRUE,151,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847740,15.8429,5.0049,0,31.28,TRUE,154,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847750,16.1196,4.9979,0,31.28,TRUE,157,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847760,16.3933,5.0032,0,31.28,TRUE,160,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847770,16.6743,5.0040,0,31.28,TRUE,163,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847780,16.9585,5.0007,0,31.28,TRUE,166,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847790,17.2328,4.9969,0,31.28,TRUE,169,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847800,17.5094,4.9982,0,31.28,TRUE,172,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847810,17.7886,5.0035,0,31.28,TRUE,175,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847820,18.0694,4.9983,0,31.28,TRUE,178,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847830,18.3444,4.9955,0,31.28,TRUE,181,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847840,18.6218,5.0044,0,31.28,TRUE,184,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847850,18.8960,5.0048,0,31.28,FALSE,187,FALSE,45,#Rotate,FALSE
PT,XXXCarPT,1627484055,16274847860,18.8960,5.0048,0.52,31.28,FALSE,187,FALSE,45,#Rotate,FALSE
PT,XXXCarPT,1627484055,16274847870,18.8960,5.0048,1.05,31.28,FALSE,187,FALSE,45,#Rotate,FALSE
PT,XXXCarPT,1627484055,16274847880,18.8960,5.0048,1.57,31.28,FALSE,187,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847890,18.8987,5.2771,1.57,31.28,TRUE,187,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847900,18.8974,5.5586,1.57,31.28,TRUE,187,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847910,18.8995,5.8382,1.57,31.28,TRUE,187,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847920,18.9025,6.1073,1.57,31.28,TRUE,187,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847930,18.8981,6.3876,1.57,31.28,TRUE,187,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847940,18.8991,6.6651,1.57,31.28,TRUE,187,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847950,18.8958,6.9500,1.57,31.28,TRUE,187,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847960,18.9016,7.2199,1.57,31.28,TRUE,187,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847970,18.8998,7.5008,1.57,31.28,TRUE,187,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847980,18.9017,7.7831,1.57,31.28,TRUE,187,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274847990,18.9028,8.0591,1.57,31.28,TRUE,187,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274848000,18.8967,8.3329,1.57,31.28,TRUE,187,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274848010,18.8995,8.6122,1.57,31.28,TRUE,187,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274848020,18.8955,8.8948,1.57,31.28,TRUE,187,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274848030,18.8978,9.1723,1.57,31.28,TRUE,187,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274848040,18.9047,9.4500,1.57,31.28,TRUE,187,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274848050,18.9042,9.7308,1.57,31.28,TRUE,187,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274848060,18.9011,9.9994,1.57,31.28,TRUE,187,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274848070,18.9043,10.2820,1.57,31.28,TRUE,187,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274848080,18.9033,10.5567,1.57,31.28,TRUE,187,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274848090,18.8964,10.8426,1.57,31.28,TRUE,187,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274848100,18.9034,11.1193,1.57,31.28,TRUE,187,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274848110,18.8961,11.3974,1.57,31.28,TRUE,187,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274848120,18.9008,11.6750,1.57,31.28,TRUE,187,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274848130,18.9034,11.9513,1.57,31.28,TRUE,187,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274848140,18.9041,12.2237,1.57,31.28,TRUE,187,FALSE,45,#Forward,FALSE
PT,XXXCarPT,1627484055,16274848150,18.8979,12.5030,1.57,31.28,TRUE,187,FALSE,45,#Forward,FALSE
