twinType,twinId,executionId,timestamp,xPos,yPos,angle,speed,isMoving,distance,bump,light,action,processingQueue
DT,SSSCar,1627484055,16274847350,3,3,0,62.56,FALSE,35,FALSE,45,#Forward,FALSE
DT,SSSCar,1627484055,16274847360,3.556,3,0,62.56,TRUE,41,FALSE,45,#Forward,FALSE
DT,SSSCar,1627484055,16274847370,4.112,3,0,62.56,TRUE,47,FALSE,45,#Forward,FALSE
DT,SSSCar,1627484055,16274847380,4.668,3,0,62.56,TRUE,53,FALSE,45,#Forward,FALSE
DT,SSSCar,1627484055,16274847390,5.224,3,0,62.56,TRUE,59,FALSE,45,#Forward,FALSE
DT,SSSCar,1627484055,16274847400,5.78,3,0,62.56,TRUE,65,FALSE,45,#Forward,FALSE
DT,SSSCar,1627484055,16274847410,6.336,3,0,62.56,TRUE,71,FALSE,45,#Forward,FALSE
DT,SSSCar,1627484055,16274847420,6.892,3,0,62.56,TRUE,77,FALSE,45,#Forward,FALSE
DT,SSSCar,1627484055,16274847430,7.448,3,0,62.56,TRUE,83,FALSE,45,#Forward,FALSE
DT,SSSCar,1627484055,16274847440,8.004,3,0,62.56,TRUE,89,FALSE,45,#Forward,FALSE
DT,SSSCar,1627484055,16274847450,8.56,3,0,62.56,TRUE,95,FALSE,45,#Forward,FALSE
DT,SSSCar,1627484055,16274847460,9.116,3,0,62.56,TRUE,101,FALSE,45,#Forward,FALSE
DT,SSSCar,1627484055,16274847470,9.672,3,0,62.56,TRUE,107,FALSE,45,#Forward,FALSE
DT,SSSCar,1627484055,16274847480,10.228,3,0,62.56,TRUE,113,FALSE,45,#Forward,FALSE
DT,SSSCar,1627484055,16274847490,10.784,3,0,62.56,TRUE,119,FALSE,45,#Forward,FALSE
DT,SSSCar,1627484055,16274847500,11.34,3,0,62.56,TRUE,125,FALSE,45,#Forward,FALSE
DT,SSSCar,1627484055,16274847510,11.896,3,0,62.56,TRUE,131,FALSE,45,#Forward,FALSE
DT,SSSCar,1627484055,16274847520,12.452,3,0,62.56,TRUE,137,FALSE,45,#Forward,FALSE
DT,SSSCar,1627484055,16274847530,13.008,3,0,62.56,TRUE,143,FALSE,45,#Forward,FALSE
DT,SSSCar,1627484055,16274847540,13.564,3,0,62.56,TRUE,149,FALSE,45,#Forward,FALSE
DT,SSSCar,1627484055,16274847550,14.12,3,0,62.56,TRUE,155,FALSE,45,#Forward,FALSE
DT,SSSCar,1627484055,16274847560,14.676,3,0,62.56,TRUE,161,FALSE,45,#Forward,FALSE
DT,SSSCar,1627484055,16274847570,15.232,3,0,62.56,TRUE,167,FALSE,45,#Forward,FALSE
DT,SSSCar,1627484055,16274847580,15.788,3,0,62.56,TRUE,173,FALSE,45,#Forward,FALSE
DT,SSSCar,1627484055,16274847590,16.344,3,0,62.56,TRUE,179,FALSE,45,#Forward,FALSE
DT,SSSCar,1627484055,16274847600,16.9,3,0,62.56,FALSE,185,FALSE,45,#Rotate,FALSE
DT,SSSCar,1627484055,16274847610,16.9,3,1.05,62.56,FALSE,185,FALSE,45,#Rotate,FALSE
DT,SSSCar,1627484055,16274847620,16.9,3,1.57,62.56,FALSE,185,FALSE,45,#Forward,FALSE
DT,SSSCar,1627484055,16274847630,16.9,3.556,1.57,62.56,TRUE,185,FALSE,45,#Forward,FALSE
DT,SSSCar,1627484055,16274847640,16.9,4.112,1.57,62.56,TRUE,185,FALSE,45,#Forward,FALSE
DT,SSSCar,1627484055,16274847650,16.9,4.668,1.57,62.56,TRUE,185,FALSE,45,#Forward,FALSE
DT,SSSCar,1627484055,16274847660,16.9,5.224,1.57,62.56,TRUE,185,FALSE,45,#Forward,FALSE
DT,SSSCar,1627484055,16274847670,16.9,5.78,1.57,62.56,TRUE,185,FALSE,45,#Forward,FALSE
DT,SSSCar,1627484055,16274847680,16.9,6.336,1.57,62.56,TRUE,185,FALSE,45,#Forward,FALSE
DT,SSSCar,1627484055,16274847690,16.9,6.892,1.57,62.56,TRUE,185,FALSE,45,#Forward,FALSE
DT,SSSCar,1627484055,16274847700,16.9,7.448,1.57,62.56,TRUE,185,FALSE,45,#Forward,FALSE
DT,SSSCar,1627484055,16274847710,16.9,8.004,1.57,62.56,TRUE,185,FALSE,45,#Forward,FALSE
DT,SSSCar,1627484055,16274847720,16.9,8.56,1.57,62.56,TRUE,185,FALSE,45,#Forward,FALSE
DT,SSSCar,1627484055,16274847730,16.9,9.116,1.57,62.56,TRUE,185,FALSE,45,#Forward,FALSE
DT,SSSCar,1627484055,16274847740,16.9,9.672,1.57,62.56,TRUE,185,FALSE,45,#Forward,FALSE
DT,SSSCar,1627484055,16274847750,16.9,10.228,1.57,62.56,TRUE,185,FALSE,45,#Forward,FALSE
DT,SSSCar,1627484055,16274847760,16.9,10.784,1.57,62.56,TRUE,185,FALSE,45,#Forward,FALSE
DT,SSSCar,1627484055,16274847770,16.9,11.34,1.57,62.56,TRUE,185,FALSE,45,#Forward,FALSE
